ChildChannel,Date,Duration,EpNo,ParentChannel,ProgEpisodeName,Series,SeriesNo,Source,StartTime,VersionCensorship
Melbourne,1978/01/21,NULL,10,Group Network for TIS,POSTCODE 4891,BIG COUNTRY,1100,1,19:30:00,NULL
Sydney,1978/01/21,NULL,1,Group Network for TIS,GEE BACK RATTLER,BIG COUNTRY,1100,1,19:30:00,NULL
Brisbane,1978/01/21,NULL,10,Group Network for TIS,POSTCODE 4891,BIG COUNTRY,1100,1,19:30:00,NULL
Adelaide,1978/01/28,NULL,10,Group Network for TIS,POSTCODE 4891,BIG COUNTRY,1100,1,19:30:00,NULL
Adelaide,1978/01/29,NULL,0,Group Network for TIS,CHILDREN OF QUI NHAN,,0,1,00:01:00,NULL
Brisbane,1978/01/29,NULL,0,Group Network for TIS,CHILDREN OF QUI NHAN,,0,1,00:01:00,NULL
Hobart,1978/01/29,NULL,0,Group Network for TIS,CHILDREN OF QUI NHAN,,0,1,00:01:00,NULL
Sydney,1978/01/29,NULL,0,Group Network for TIS,CHILDREN OF QUI NHAN,,0,1,00:01:00,NULL
Perth,1978/01/29,NULL,0,Group Network for TIS,CHILDREN OF QUI NHAN,,0,1,00:01:00,NULL
Melbourne,1978/02/04,NULL,0,Group Network for TIS,LIFE WITH FATHER,,0,1,00:00:00,NULL
Melbourne,1978/02/04,NULL,9,Group Network for TIS,CATTLE DUFFERS AND PODDY DODGERS,BIG COUNTRY,1100,1,19:30:00,NULL
Perth,1978/02/09,NULL,4,Group Network for TIS,TERROR OF THE AUTONS - PART 4,DR. WHO,305,1,18:30:00,NULL
Darwin,1978/02/10,NULL,0,Group Network for TIS,"FEATHERWEIGHT CONTEST, 1968 - BOBBY VALDEZ VS JOHNNY FAMECHON",,0,1,14:00:00,NULL
Perth,1978/02/11,NULL,3,Group Network for TIS,DREAM OF OPAL,BIG COUNTRY,1100,1,19:30:00,NULL
Perth,1978/02/18,NULL,9,Group Network for TIS,CATTLE DUFFERS AND PODDY DODGERS,BIG COUNTRY,1100,1,19:30:00,NULL
Brisbane,1978/02/18,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/02/18,NULL,1,Group Network for TIS,ISLAND,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/02/25,NULL,1,Group Network for TIS,GARRISON,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Sydney,1978/02/25,NULL,2,Group Network for TIS,REST OF THE JOURNEY,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/03/04,NULL,22,Group Network for TIS,DOUGHTY PLOT,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/03/04,NULL,26,Group Network for TIS,SLAVES OF SPAIN,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Melbourne,1978/03/04,NULL,2,Group Network for TIS,REST OF THE JOURNEY,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/03/04,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/03/04,NULL,1,Group Network for TIS,ISLAND,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/03/04,NULL,10,Group Network for TIS,JOHNNIE FACTOTUM,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Melbourne,1978/03/04,NULL,18,Group Network for TIS,FOUNTAIN OF YOUTH,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Sydney,1978/03/07,NULL,0,Group Network for TIS,BILLY AND PERCY,,0,1,00:00:00,NULL
Brisbane,1978/03/08,NULL,0,Group Network for TIS,BILLY AND PERCY,,0,1,00:00:00,NULL
Sydney,1978/03/11,NULL,4,Group Network for TIS,HANDFUL OF GOLD,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/03/11,NULL,18,Group Network for TIS,FOUNTAIN OF YOUTH,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Melbourne,1978/03/11,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/03/11,NULL,25,Group Network for TIS,VISIT TO SPAIN,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Brisbane,1978/03/11,NULL,17,Group Network for TIS,FLAME THROWER,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Perth,1978/03/11,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/03/11,NULL,2,Group Network for TIS,REST OF THE JOURNEY,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/03/11,NULL,2,Group Network for TIS,REST OF THE JOURNEY,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/03/11,NULL,20,Group Network for TIS,RELUCTANT DUCHESS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Perth,1978/03/12,NULL,0,Group Network for TIS,BILLY AND PERCY,,0,1,00:00:00,NULL
Sydney,1978/03/13,NULL,5,Group Network for TIS,DIMINISHING RAINFOREST,WILD AUSTRALIA,7300,1,19:30:00,NULL
Sydney,1978/03/14,NULL,6,Group Network for TIS,SEAL WATCH,WILD AUSTRALIA,7300,1,19:30:00,NULL
Perth,1978/03/15,NULL,1,Group Network for TIS,ALBATROSS ISLAND,WILD AUSTRALIA,7300,1,19:30:00,NULL
Melbourne,1978/03/18,NULL,4,Group Network for TIS,HANDFUL OF GOLD,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/03/18,NULL,4,Group Network for TIS,HANDFUL OF GOLD,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/03/18,NULL,23,Group Network for TIS,GYPSIES,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Darwin,1978/03/18,NULL,7,Group Network for TIS,BOLD ENTERPRISE,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/03/18,NULL,0,Group Network for TIS,BLACKBEARD THE PIRATE,,0,1,00:00:00,NULL
Perth,1978/03/18,NULL,2,Group Network for TIS,PRISONER,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Brisbane,1978/03/18,NULL,7,Group Network for TIS,BOLD ENTERPRISE,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Sydney,1978/03/18,NULL,5,Group Network for TIS,OTHER SIDE OF THE ISLAND,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/03/18,NULL,17,Group Network for TIS,FLAME THROWER,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Brisbane,1978/03/25,NULL,18,Group Network for TIS,FOUNTAIN OF YOUTH,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Hobart,1978/03/25,NULL,5,Group Network for TIS,OTHER SIDE OF THE ISLAND,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/03/25,NULL,3,Group Network for TIS,QUEEN OF SCOTS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Melbourne,1978/03/25,NULL,5,Group Network for TIS,OTHER SIDE OF THE ISLAND,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/03/25,NULL,4,Group Network for TIS,HANDFUL OF GOLD,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/03/25,NULL,18,Group Network for TIS,FOUNTAIN OF YOUTH,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Brisbane,1978/03/27,NULL,4,Group Network for TIS,ANTARCTIC SUMMER,WILD AUSTRALIA,7300,1,19:30:00,NULL
Perth,1978/04/01,NULL,6,Group Network for TIS,SAVAGE,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/04/01,NULL,6,Group Network for TIS,SAVAGE,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/04/01,NULL,19,Group Network for TIS,GENTLEMEN OF SPAIN,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Darwin,1978/04/01,NULL,19,Group Network for TIS,GENTLEMEN OF SPAIN,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Perth,1978/04/01,NULL,4,Group Network for TIS,GOVERNOR'S REVENGE,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/04/08,NULL,6,Group Network for TIS,SAVAGE,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/04/08,NULL,7,Group Network for TIS,REBELS,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/04/08,NULL,8,Group Network for TIS,STONE MEN,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/04/08,NULL,6,Group Network for TIS,SAVAGE,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/04/08,NULL,20,Group Network for TIS,RELUCTANT DUCHESS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Hobart,1978/04/08,NULL,7,Group Network for TIS,REBELS,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/04/08,NULL,25,Group Network for TIS,VISIT TO SPAIN,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Perth,1978/04/08,NULL,5,Group Network for TIS,LOST COLONY OF VIRGINIA,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Darwin,1978/04/10,NULL,1,Group Network for TIS,ISLAND,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/04/12,NULL,0,Group Network for TIS,ONE PAIR OF EYES: RUSSELL BRADDON - EPITAPH TO A FRIENDSHIP,,0,1,00:00:00,NULL
Sydney,1978/04/15,NULL,9,Group Network for TIS,SAIL HO !,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/04/15,NULL,20,Group Network for TIS,RELUCTANT DUCHESS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/04/15,NULL,7,Group Network for TIS,REBELS,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/04/15,NULL,6,Group Network for TIS,BOY JACK,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Hobart,1978/04/15,NULL,8,Group Network for TIS,STONE MEN,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/04/15,NULL,8,Group Network for TIS,STONE MEN,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/04/15,NULL,8,Group Network for TIS,STONE MEN,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/04/20,NULL,0,Group Network for TIS,BILLY AND PERCY,,0,1,00:00:00,NULL
Adelaide,1978/04/22,NULL,8,Group Network for TIS,STONE MEN,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/04/22,NULL,8,Group Network for TIS,STONE MEN,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/04/22,NULL,10,Group Network for TIS,ANOTHER PARADISE,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/04/24,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/04/26,NULL,1,Group Network for TIS,BEAUFORT BOMBERS,AUSTRALIAN WAR MEMORIAL FILMS,100,1,00:00:00,NULL
Melbourne,1978/04/29,NULL,10,Group Network for TIS,ANOTHER PARADISE,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/04/29,NULL,11,Group Network for TIS,BABES IN THE WOOD,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/04/29,NULL,9,Group Network for TIS,SAIL HO !,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/04/29,NULL,10,Group Network for TIS,ANOTHER PARADISE,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/04/29,NULL,9,Group Network for TIS,SAIL HO !,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/05/01,NULL,4,Group Network for TIS,HANDFUL OF GOLD,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/05/06,NULL,12,Group Network for TIS,DRY LAND,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/05/06,NULL,8,Group Network for TIS,DOCTOR DEE,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/05/06,NULL,10,Group Network for TIS,ANOTHER PARADISE,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/05/06,NULL,11,Group Network for TIS,BABES IN THE WOOD,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/05/06,NULL,10,Group Network for TIS,ANOTHER PARADISE,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/05/06,NULL,11,Group Network for TIS,BABES IN THE WOOD,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/05/07,NULL,9,Group Network for TIS,THIS RIVER IS OUR RIVER,BIG COUNTRY,900,1,19:30:00,NULL
Darwin,1978/05/07,NULL,9,Group Network for TIS,THIS RIVER IS OUR RIVER,BIG COUNTRY,900,1,19:30:00,NULL
Darwin,1978/05/08,NULL,5,Group Network for TIS,OTHER SIDE OF THE ISLAND,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/05/13,NULL,13,Group Network for TIS,ESMERELDA LOG,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/05/13,NULL,11,Group Network for TIS,BABES IN THE WOOD,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/05/13,NULL,0,Group Network for TIS,YEAR OF THE GREEN CENTRE,,0,1,00:00:00,NULL
Brisbane,1978/05/13,NULL,11,Group Network for TIS,BABES IN THE WOOD,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/05/13,NULL,12,Group Network for TIS,DRY LAND,CASTAWAY,100,1,00:00:00,NULL
Perth,1978/05/14,NULL,12,Group Network for TIS,DRY LAND,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/05/14,NULL,0,Group Network for TIS,YEAR OF THE GREEN CENTRE,,0,1,00:00:00,NULL
Darwin,1978/05/15,NULL,6,Group Network for TIS,SAVAGE,CASTAWAY,100,1,00:00:00,NULL
Sydney,1978/05/18,NULL,6,Group Network for TIS,COLONY IN SPACE - PART 6,DR. WHO,308,1,18:30:00,NULL
Darwin,1978/05/18,NULL,7,Group Network for TIS,DR WHO AND THE SILURIANS - PART 7,DR. WHO,302,1,18:30:00,NULL
Brisbane,1978/05/18,NULL,7,Group Network for TIS,DR WHO AND THE SILURIANS - PART 7,DR. WHO,302,1,18:30:00,NULL
Adelaide,1978/05/18,NULL,4,Group Network for TIS,TERROR OF THE AUTONS - PART 4,DR. WHO,305,1,18:30:00,NULL
Hobart,1978/05/20,NULL,13,Group Network for TIS,ESMERELDA LOG,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/05/20,NULL,0,Group Network for TIS,YEAR OF THE GREEN CENTRE,,0,1,00:00:00,NULL
Perth,1978/05/20,NULL,0,Group Network for TIS,YEAR OF THE GREEN CENTRE,,0,1,00:00:00,NULL
Melbourne,1978/05/20,NULL,13,Group Network for TIS,ESMERELDA LOG,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/05/20,NULL,12,Group Network for TIS,DRY LAND,CASTAWAY,100,1,00:00:00,NULL
Brisbane,1978/05/20,NULL,12,Group Network for TIS,DRY LAND,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/05/22,NULL,7,Group Network for TIS,REBELS,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/05/25,NULL,7,Group Network for TIS,DR WHO AND THE SILURIANS - PART 7,DR. WHO,302,1,18:30:00,NULL
Perth,1978/05/25,NULL,4,Group Network for TIS,CLAWS OF AXOS - PART 4,DR. WHO,307,1,18:30:00,NULL
Darwin,1978/05/25,NULL,0,Group Network for TIS,ONE PAIR OF EYES: RUSSELL BRADDON - EPITAPH TO A FRIENDSHIP,,0,1,00:00:00,NULL
Brisbane,1978/05/27,NULL,13,Group Network for TIS,ESMERELDA LOG,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/05/27,NULL,13,Group Network for TIS,ESMERELDA LOG,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/05/27,NULL,1,Group Network for TIS,MULGA BILL'S BICYCLE BAND,BIG COUNTRY,1200,1,19:30:00,NULL
Brisbane,1978/06/02,NULL,0,Group Network for TIS,OLYMPICS - THE ETERNAL TORCH,,0,1,00:00:00,NULL
Melbourne,1978/06/03,NULL,2,Group Network for TIS,I'LL NEVER CHANGE SIDES,BIG COUNTRY,1200,1,19:30:00,NULL
Darwin,1978/06/05,NULL,9,Group Network for TIS,SAIL HO !,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/06/05,NULL,0,Group Network for TIS,ONE PAIR OF EYES: RUSSELL BRADDON - EPITAPH TO A FRIENDSHIP,,0,1,00:00:00,NULL
Adelaide,1978/06/07,NULL,0,Group Network for TIS,BILLY AND PERCY,,0,1,00:00:00,NULL
Melbourne,1978/06/07,NULL,0,Group Network for TIS,CATS,,0,1,11:00:00,NULL
Hobart,1978/06/08,NULL,4,Group Network for TIS,TERROR OF THE AUTONS - PART 4,DR. WHO,305,1,18:30:00,NULL
Melbourne,1978/06/10,NULL,3,Group Network for TIS,BEN HALL,BIG COUNTRY,1200,1,19:30:00,NULL
Adelaide,1978/06/10,NULL,1,Group Network for TIS,MULGA BILL'S BICYCLE BAND,BIG COUNTRY,1200,1,19:30:00,NULL
Darwin,1978/06/12,NULL,10,Group Network for TIS,ANOTHER PARADISE,CASTAWAY,100,1,00:00:00,NULL
Melbourne,1978/06/14,NULL,1,Group Network for TIS,SOUTH AUSTRALIA - A DELICATE BALANCE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Sydney,1978/06/14,NULL,1,Group Network for TIS,SOUTH AUSTRALIA - A DELICATE BALANCE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Darwin,1978/06/14,NULL,1,Group Network for TIS,SOUTH AUSTRALIA - A DELICATE BALANCE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Adelaide,1978/06/14,NULL,1,Group Network for TIS,SOUTH AUSTRALIA - A DELICATE BALANCE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Brisbane,1978/06/14,NULL,1,Group Network for TIS,SOUTH AUSTRALIA - A DELICATE BALANCE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Hobart,1978/06/14,NULL,1,Group Network for TIS,SOUTH AUSTRALIA - A DELICATE BALANCE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Hobart,1978/06/15,NULL,7,Group Network for TIS,SOPHIE,BIG COUNTRY,1200,1,19:30:00,NULL
Brisbane,1978/06/17,NULL,0,Group Network for TIS,YEAR OF THE GREEN CENTRE,,0,1,00:00:00,NULL
Darwin,1978/06/19,NULL,11,Group Network for TIS,BABES IN THE WOOD,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/06/19,NULL,0,Group Network for TIS,ONE PAIR OF EYES: RUSSELL BRADDON - EPITAPH TO A FRIENDSHIP,,0,1,00:00:00,NULL
Perth,1978/06/22,NULL,9,Group Network for TIS,SAIL HO !,CASTAWAY,100,1,00:00:00,NULL
Hobart,1978/06/24,NULL,4,Group Network for TIS,LOST CULTURE,BIG COUNTRY,1200,1,19:30:00,NULL
Perth,1978/06/24,NULL,5,Group Network for TIS,SAWREY: ESCAPE TO THE BUSH,BIG COUNTRY,1200,1,19:30:00,NULL
Darwin,1978/06/26,NULL,12,Group Network for TIS,DRY LAND,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1978/06/28,NULL,0,Group Network for TIS,ONE PAIR OF EYES: RUSSELL BRADDON - EPITAPH TO A FRIENDSHIP,,0,1,00:00:00,NULL
Hobart,1978/07/01,NULL,5,Group Network for TIS,SAWREY: ESCAPE TO THE BUSH,BIG COUNTRY,1200,1,19:30:00,NULL
Melbourne,1978/07/01,NULL,6,Group Network for TIS,48 BY 2,BIG COUNTRY,1200,1,19:30:00,NULL
Sydney,1978/07/01,NULL,6,Group Network for TIS,48 BY 2,BIG COUNTRY,1200,1,19:30:00,NULL
Adelaide,1978/07/02,NULL,5,Group Network for TIS,SAWREY: ESCAPE TO THE BUSH,BIG COUNTRY,1200,1,19:30:00,NULL
Perth,1978/07/02,NULL,1,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Darwin,1978/07/03,NULL,13,Group Network for TIS,ESMERELDA LOG,CASTAWAY,100,1,00:00:00,NULL
Darwin,1978/07/05,NULL,4,Group Network for TIS,VICTORIA - THE LITTLE EUROPE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Melbourne,1978/07/05,NULL,1,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Adelaide,1978/07/05,NULL,4,Group Network for TIS,VICTORIA - THE LITTLE EUROPE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Sydney,1978/07/05,NULL,4,Group Network for TIS,VICTORIA - THE LITTLE EUROPE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Perth,1978/07/05,NULL,4,Group Network for TIS,VICTORIA - THE LITTLE EUROPE,IN THE WILD WITH HARRY BUTLER,400,1,19:30:00,NULL
Adelaide,1978/07/06,NULL,1,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Brisbane,1978/07/07,NULL,1,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Hobart,1978/07/08,NULL,6,Group Network for TIS,48 BY 2,BIG COUNTRY,1200,1,19:30:00,NULL
Brisbane,1978/07/08,NULL,7,Group Network for TIS,BIRD BANDING,AROUND THE BUSH WITH VINCENT SERVENTY,100,1,17:40:00,NULL
Darwin,1978/07/08,NULL,7,Group Network for TIS,BIRD BANDING,AROUND THE BUSH WITH VINCENT SERVENTY,100,1,17:40:00,NULL
Darwin,1978/07/08,NULL,0,Group Network for TIS,YEAR OF THE GREEN CENTRE,,0,1,00:00:00,NULL
Perth,1978/07/09,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Melbourne,1978/07/12,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Melbourne,1978/07/12,NULL,8,Group Network for TIS,STAG LICENCE 0134,BIG COUNTRY,1200,1,19:30:00,NULL
Adelaide,1978/07/13,NULL,3,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Adelaide,1978/07/13,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Brisbane,1978/07/14,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Sydney,1978/07/15,NULL,8,Group Network for TIS,STAG LICENCE 0134,BIG COUNTRY,1200,1,19:30:00,NULL
Perth,1978/07/15,NULL,9,Group Network for TIS,MISSION TO PARIS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/07/15,NULL,0,Group Network for TIS,LIFE WITH FATHER,,0,1,00:00:00,NULL
Darwin,1978/07/15,NULL,2,Group Network for TIS,I'LL NEVER CHANGE SIDES,BIG COUNTRY,1200,1,19:00:00,NULL
Brisbane,1978/07/15,NULL,2,Group Network for TIS,I'LL NEVER CHANGE SIDES,BIG COUNTRY,1200,1,19:00:00,NULL
Hobart,1978/07/15,NULL,3,Group Network for TIS,QUEEN OF SCOTS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/07/15,NULL,19,Group Network for TIS,GENTLEMEN OF SPAIN,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Perth,1978/07/16,NULL,3,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Darwin,1978/07/16,NULL,3,Group Network for TIS,BEN HALL,BIG COUNTRY,1200,1,19:00:00,NULL
Melbourne,1978/07/19,NULL,3,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Sydney,1978/07/20,NULL,3,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Perth,1978/07/22,NULL,8,Group Network for TIS,STAG LICENCE 0134,BIG COUNTRY,1200,1,19:30:00,NULL
Darwin,1978/07/22,NULL,8,Group Network for TIS,MAMMALS IN THE SEA,AROUND THE BUSH WITH VINCENT SERVENTY,100,1,17:40:00,NULL
Sydney,1978/07/22,NULL,3,Group Network for TIS,QUEEN OF SCOTS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Hobart,1978/07/22,NULL,8,Group Network for TIS,STAG LICENCE 0134,BIG COUNTRY,1200,1,19:30:00,NULL
Sydney,1978/07/22,NULL,9,Group Network for TIS,WHITE MAN MC LEOD,BIG COUNTRY,1200,1,19:30:00,NULL
Adelaide,1978/07/22,NULL,7,Group Network for TIS,SOPHIE,BIG COUNTRY,1200,1,19:30:00,NULL
Perth,1978/07/23,NULL,4,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Hobart,1978/07/24,NULL,4,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Sydney,1978/07/27,NULL,4,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
Sydney,1978/07/28,NULL,1,Group Network for TIS,OPEN ALL HOURS,SEVEN OF ONE,100,1,00:00:00,NULL
Brisbane,1978/07/28,NULL,4,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,300,1,00:00:00,NULL
